rank,brand,country,sales,share
1,大众,德国,334977,16.58%
2,本田,日本,148855,7.37%
3,丰田,日本,138544,6.86%
4,吉利,中国,126045,6.24%
5,日产,日本,116162,5.75%
6,哈弗,中国,83210,4.12%
7,长安,中国,74212,3.67%
8,别克,美国,70944,3.51%
9,奥迪,德国,65684,3.25%
10,现代,韩国,64159,3.18%
11,五菱汽车,中国,57272,2.84%
12,宝马,德国,53951,2.67%
13,奔驰,德国,49653,2.46%
14,奇瑞,中国,43252,2.14%
15,比亚迪,中国,40167,1.99%
16,荣威,中国,37796,1.87%
17,广汽传祺,中国,34968,1.73%
18,宝骏,中国,34129,1.69%
19,雪佛兰,美国,31160,1.54%
20,斯柯达,捷克,29925,1.48%
21,起亚,韩国,23426,1.16%
22,名爵,中国,23145,1.15%
23,福特,美国,22855,1.13%
24,马自达,日本,22493,1.11%
25,东风风光,中国,20972,1.04%
26,凯迪拉克,美国,16800,0.83%
27,捷途,中国,14369,0.71%
28,领克,中国,14131,0.7%
29,奔腾,中国,12750,0.63%
30,红旗,中国,12514,0.62%
31,沃尔沃,瑞典,12201,0.6%
32,三菱,日本,11978,0.59%
33,东风风行,中国,11212,0.56%
34,启辰,中国,10401,0.51%
35,WEY,中国,10391,0.51%
36,金杯,中国,10074,0.5%
37,北汽新能源,中国,9051,0.45%
38,长安欧尚,中国,9016,0.45%
39,江淮,中国,8804,0.44%
40,北京汽车,中国,8356,0.41%
41,上汽MAXUS,中国,6800,0.34%
42,Jeep,美国,6035,0.3%
43,广汽新能源,中国,5823,0.29%
44,SWM斯威汽车,中国,5747,0.28%
45,东风风神,中国,5500,0.27%
46,标致,法国,4775,0.24%
47,东风小康,中国,4404,0.22%
48,比速汽车,中国,4399,0.22%
49,路虎,英国,4231,0.21%
50,宝沃,德国,4082,0.2%
